,x,y,i,action,r,a
0,8.33,12.5,0,0.13017691247956834,0.6093012177172925,0.04452562407044036
1,8.33,37.5,1,0.10981251231563667,0.4788451903322998,0.2673109570850081
2,8.33,62.5,2,0.20673851750926833,0.2897689948609103,0.19671722045809228
3,8.33,87.5,3,0.27243847482728967,0.8052303069799317,0.2860458300662546
4,25.0,12.5,4,0.1541959931772651,0.40390062406575555,0.6676593010540626
5,25.0,37.5,5,0.4187500183035162,0.5753344311435032,0.19000764112387267
6,25.0,62.5,6,0.1767493746884623,0.2101866826470448,0.14828009115135868
7,25.0,87.5,7,0.07869958732261588,0.37356648161894873,0.571088645633999
8,41.66,12.5,8,0.25808438071502016,0.6526559318644469,0.2663439785143097
9,41.66,37.5,9,0.1965457671188356,0.0017469206870196208,0.5394286215690827
10,41.66,62.5,10,0.05963672330973278,0.82697305162278,0.20311530012259033
11,41.66,87.5,11,0.27206865865296365,0.5696357463523464,0.7642293074469105
12,58.33,12.5,12,0.24285032379894556,0.3943609430255622,0.4509713700364827
13,58.33,37.5,13,0.23914779975582165,0.5557865558558829,0.850784865315813
14,58.33,62.5,14,0.0004978360276573536,0.48671480155465296,0.854119509857157
15,58.33,87.5,15,0.00042666427124579687,0.20341290201805,0.28474582340446775
16,70.83,12.5,16,0.4416395813461614,0.9045702441552047,0.9972378088407932
17,70.83,37.5,17,0.4830561279197911,0.7776724294767209,0.7375327891624689
18,70.83,62.5,18,0.40340799428883606,0.341760386354961,0.1884769356968211
19,70.83,87.5,19,0.16097930600712546,0.5568666066801913,0.059803419482186954
20,79.64,10.19,20,0.46596189129816096,0.15196438683976066,0.32637318304047647
21,79.64,28.45,21,0.4348698780694148,0.25683846296144436,0.37891086673533364
22,79.64,43.27,22,0.04631913584507062,0.9445940874209741,0.15451088278923852
23,79.64,56.73,23,0.2311372641332337,0.6857166518120317,0.9606926980101118
24,79.64,71.55,24,0.43530318188435563,0.7072883324125157,0.27011231982585077
25,79.64,89.81,25,0.40219005143418035,0.4439697867249712,0.6651107146702435
26,89.52,10.19,26,0.13463673093276468,0.6306621162991992,0.20802555763064312
27,89.52,28.45,27,0.439991140236155,0.22307746805778747,0.7726221917612266
28,89.52,43.27,28,0.13863107119118986,0.6056640048147278,0.19672597394346877
29,89.52,56.73,29,0.004220822874243187,0.5624898887325747,0.2632661207538797
30,89.52,71.55,30,0.22037955269841508,0.27931745475713254,0.9163580427521262
31,89.52,89.81,31,0.3729922921529001,0.486931751053742,0.2008056990972734
32,97.38,10.19,32,0.3548602075829625,0.78427018860459,0.40153268293034916
33,97.38,28.45,33,0.46690386592053695,0.3596433361111744,0.9572326974199051
34,97.38,43.27,34,0.2199088916447745,0.6129423928561296,0.9049285573868635
35,97.38,56.73,35,0.33529735047011994,0.06737377873629795,0.1690767716427857
36,97.38,71.55,36,0.464642306094711,0.4148137236717284,0.11630755148935412
37,97.38,89.81,37,0.47602331285934274,0.19624202869172291,0.5757183558487831
